제목,장르,창작유형,원작,시대,등급,제작비,수익(미국),수익(전세계),로튼토마토 평점,IMDB 평점,IMDB 평가수
Twin Falls Idaho,드라마,현대소설,없음,90년대,전체관람가,5,9,10,77,7.1,2810
Beverly Hills Cop II,액션,현대소설,없음,80년대,전체관람가,200,1536,2766,46,6.1,29712
Broken Arrow,액션,현대소설,없음,90년대,전체관람가,650,706,1483,55,5.8,33584
Batman,액션,영웅물,만화,80년대,15세이상,350,2511,4113,71,7.6,111464
Copycat,스릴러,현대소설,없음,90년대,전체관람가,200,320,320,75,6.5,17182
Ed Wood,코미디,각색,책,90년대,전체관람가,180,58,58,91,8.1,74171
From Dusk Till Dawn,호러,판타지,없음,90년대,전체관람가,200,257,257,63,7.1,80234
The First Wives Club,코미디,현대소설,책,90년대,7세이상,300,1054,1814,41,5.6,14682
Home Alone 2: Lost in New York,코미디,현대소설,없음,90년대,7세이상,200,1735,3589,21,5.8,51408
Home Alone,코미디,현대소설,없음,90년대,7세이상,150,2857,4766,47,7,79080
Jack,드라마,현대소설,없음,90년대,15세이상,450,586,586,17,5.3,17267
JFK,드라마,각색,책,90년대,전체관람가,400,704,2054,83,8,59684
Jumanji,어드벤처,판타지,책,90년대,7세이상,650,1004,2627,48,6.4,54973
Kiss of Death,드라마,현대소설,영화,90년대,전체관람가,400,149,149,67,7.6,2374
Alien³,액션,공상과학,없음,90년대,전체관람가,550,549,1585,37,6.3,78860
Lone Star,드라마,현대소설,없음,90년대,전체관람가,50,129,129,92,7.6,14599
Menace II Society,액션,현대소설,없음,90년대,전체관람가,35,277,277,85,7.4,14807
Mary Reilly,드라마,역사소설,책,90년대,전체관람가,470,57,63,27,5.5,6864
The Mighty Ducks,코미디,현대소설,없음,90년대,7세이상,100,507,507,8,5.9,15479
The English Patient,드라마,역사소설,책,90년대,전체관람가,350,787,2317,83,7.3,54484
Outbreak,스릴러,현대소설,없음,90년대,전체관람가,500,678,678,59,6.4,33192
The Phantom,액션,영웅물,만화,90년대,7세이상,450,172,172,43,4.8,9477
The Scarlet Letter,드라마,역사소설,책,90년대,전체관람가,500,103,103,15,4.6,6155
The Usual Suspects,드라마,현대소설,없음,90년대,전체관람가,60,233,233,87,8.7,266890
Serial Mom,코미디,현대소설,없음,90년대,전체관람가,130,78,78,61,6.4,10999
Speed,액션,현대소설,없음,90년대,전체관람가,300,1212,2832,90,2.6,4175
The Fan,스릴러,현대소설,책,90년대,전체관람가,550,185,185,40,5.6,20640
Trainspotting,드라마,현대소설,책,90년대,전체관람가,31,165,240,89,8.2,150483
Toy Story,어드벤처,아동소설,없음,90년대,19세이상,300,1917,3619,100,8.2,151143
Vampire in Brooklyn,호러,판타지,없음,90년대,전체관람가,140,196,196,11,4.3,8200
A Walk on the Moon,드라마,역사소설,없음,90년대,전체관람가,140,47,47,74,6.4,4125
Warriors of Virtue,액션,현대소설,없음,90년대,7세이상,350,64,64,10,4,1202
102 Dalmatians,코미디,아동소설,책,2000년대,19세이상,850,669,669,30,4.4,7147
16 Blocks,액션,현대소설,없음,2000년대,15세이상,450,368,655,55,6.7,41207
88 Minutes,스릴러,현대소설,없음,2000년대,전체관람가,300,169,329,5,5.9,31205
Eight Below,어드벤처,현대소설,영화,2000년대,7세이상,400,816,1206,71,7.3,17717
8 Mile,드라마,현대소설,없음,2000년대,전체관람가,410,1167,2429,74,6.7,55877
A Bug's Life,어드벤처,판타지,없음,90년대,19세이상,450,1627,3631,91,7.3,56866
Absolute Power,스릴러,현대소설,책,90년대,전체관람가,500,500,500,46,6.5,20154
All the King's Men,드라마,역사소설,책,2000년대,15세이상,550,72,95,11,6,11994
Alfie,코미디,현대소설,영화,2000년대,전체관람가,400,133,351,49,6.1,20769
Alien,호러,공상과학,없음,80년대 이전,전체관람가,90,809,2036,97,8.5,180387
Almost Famous,코미디,각색,없음,2000년대,전체관람가,600,325,473,88,8,94424
Bruce Almighty,코미디,판타지,없음,2000년대,15세이상,810,2427,4850,48,6.6,92494
Angels & Demons,스릴러,현대소설,책,2000년대,15세이상,1500,1333,4859,35,6.7,60114
The Animal,코미디,현대소설,없음,2000년대,15세이상,220,557,557,30,4.6,18601
Anna and the King,드라마,각색,책,90년대,15세이상,750,392,392,51,6.5,14881
Australia,드라마,역사소설,없음,2000년대,15세이상,780,495,2074,54,6.8,38089
Away We Go,코미디,현대소설,없음,2000년대,전체관람가,210,94,101,66,7.3,14929
Baby Boy,드라마,현대소설,없음,2000년대,전체관람가,160,287,287,69,6.1,4485
Body of Lies,스릴러,현대소설,책,2000년대,전체관람가,675,393,1083,52,7.2,53921
Bee Movie,코미디,아동소설,없음,2000년대,7세이상,1500,1266,2875,51,6.3,30575
Beloved,드라마,역사소설,책,90년대,전체관람가,530,228,228,77,5.3,102
Big Fat Liar,코미디,현대소설,없음,2000년대,7세이상,150,478,523,43,5.2,9877
Blood Work,스릴러,현대소설,책,2000년대,전체관람가,500,261,261,54,6.3,16751
Bandits,코미디,현대소설,없음,2000년대,15세이상,750,415,715,63,6.5,30732
Boys Don't Cry,드라마,각색,없음,90년대,전체관람가,20,115,207,88,7.6,34435
Barbershop,코미디,현대소설,없음,2000년대,15세이상,120,757,770,82,6.2,11164
Bulworth,코미디,현대소설,없음,90년대,전체관람가,300,265,292,75,6.8,15486
Bowfinger,코미디,현대소설,없음,90년대,15세이상,550,664,986,79,6.4,33389
Cars,코미디,아동소설,없음,2000년대,19세이상,700,2440,4619,74,7.5,66809
Catch Me if You Can,드라마,각색,책,2000년대,15세이상,520,1646,3511,96,5.7,224
Crocodile Dundee in Los Angeles,어드벤처,현대소설,없음,2000년대,7세이상,250,255,393,12,4.6,7082
Chicken Little,어드벤처,아동소설,없음,2000년대,19세이상,600,1353,3144,36,5.8,17415
Bride of Chucky,호러,판타지,없음,90년대,전체관람가,250,324,506,43,5.3,13735
Children of Men,스릴러,공상과학,책,2000년대,전체관람가,760,355,694,93,8.1,158125
Charlotte's Web,드라마,판타지,책,2000년대,19세이상,825,829,1439,78,6.7,8028
The Contender,드라마,현대소설,없음,2000년대,전체관람가,90,178,178,76,6.9,13709
Confessions of a Dangerous Mind,드라마,각색,책,2000년대,전체관람가,290,160,330,79,7.1,36258
Come Early Morning,드라마,현대소설,없음,2000년대,전체관람가,60,1,1,83,6.2,1511
Contact,드라마,공상과학,책,90년대,7세이상,900,1009,1659,67,7.3,73684
Crash,드라마,현대소설,없음,2000년대,전체관람가,65,545,983,75,6.1,20886
Cruel Intentions,드라마,현대소설,책,90년대,전체관람가,110,382,758,47,6.7,66861
Clockstoppers,어드벤처,공상과학,없음,2000년대,7세이상,260,369,387,28,5,6392
Daredevil,액션,영웅물,만화,2000년대,15세이상,800,1025,1791,44,5.5,63574
Donnie Darko,드라마,판타지,없음,2000년대,전체관람가,45,12,41,84,8.3,210713
Date Movie,코미디,현대소설,없음,2000년대,15세이상,200,485,845,6,2.6,31821
Double Jeopardy,액션,현대소설,없음,90년대,전체관람가,400,1167,1778,25,6,28887
The Departed,드라마,현대소설,영화,2000년대,전체관람가,900,1333,2905,93,8.5,264148
Drag Me To Hell,호러,판타지,없음,2000년대,15세이상,300,421,857,92,7.1,51343
Disturbia,스릴러,현대소설,없음,2000년대,15세이상,200,802,1175,68,7,72231
Death at a Funeral,코미디,현대소설,없음,2000년대,전체관람가,200,85,347,61,5.1,6628
The Da Vinci Code,스릴러,현대소설,책,2000년대,15세이상,1250,2175,7572,25,6.4,116903
Eagle Eye,스릴러,현대소설,없음,2000년대,15세이상,800,1014,1780,27,6.6,52336
8MM,스릴러,현대소설,없음,90년대,전체관람가,400,364,963,22,6.3,47753
The End of the Affair,드라마,역사소설,책,90년대,전체관람가,230,106,106,67,6.9,9969
Entrapment,스릴러,현대소설,없음,90년대,15세이상,660,877,2117,38,6.1,40764
Enough,스릴러,현대소설,없음,2000년대,15세이상,380,391,391,21,6.5,92
Epic Movie,코미디,현대소설,없음,2000년대,15세이상,200,397,868,2,2.2,48975
Event Horizon,호러,공상과학,없음,90년대,전체관람가,600,266,266,21,6.3,44671
Extreme Ops,액션,현대소설,없음,2000년대,15세이상,400,48,126,6,4.1,3195
Far From Heaven,드라마,역사소설,없음,2000년대,15세이상,135,159,290,89,7.5,20239
Facing the Giants,드라마,현대소설,없음,2000년대,7세이상,1,101,101,9,6,4901
Final Destination 3,호러,판타지,없음,2000년대,전체관람가,250,540,1127,45,5.9,32263
The Final Destination,호러,판타지,없음,2000년대,전체관람가,400,664,1857,27,4.9,20319
From Hell,스릴러,역사소설,만화,2000년대,전체관람가,350,315,315,57,6.8,53477
Fight Club,드라마,현대소설,책,90년대,전체관람가,650,370,1008,81,8.8,382470
Finding Forrester,드라마,현대소설,없음,2000년대,15세이상,430,517,800,74,7.2,35966
Flubber,코미디,아동소설,영화,90년대,7세이상,800,929,1779,17,4.6,18890
Flushed Away,코미디,아동소설,없음,2000년대,7세이상,1490,646,1776,72,7,21334
Friday Night Lights,드라마,현대소설,책,2000년대,15세이상,300,612,619,81,7.2,20868
The Princess and the Frog,어드벤처,아동소설,책,2000년대,19세이상,1050,1043,2634,84,7.4,16232
Fireproof,드라마,현대소설,없음,2000년대,7세이상,5,334,334,40,5.6,5498
For Your Consideration,코미디,현대소설,없음,2000년대,15세이상,120,55,55,50,6.2,7780
The Game,스릴러,현대소설,없음,90년대,전체관람가,500,482,482,80,7.7,74136
The General's Daughter,드라마,현대소설,책,90년대,전체관람가,600,1027,1497,22,6.1,23570
Garden State,드라마,현대소설,없음,2000년대,전체관람가,25,267,323,86,7.9,92594
How the Grinch Stole Christmas,코미디,아동소설,책,2000년대,7세이상,1230,2600,3451,53,5.7,40310
The Happening,스릴러,공상과학,없음,2000년대,전체관람가,600,645,1634,18,5.2,72259
Heist,액션,현대소설,없음,2000년대,전체관람가,350,234,284,66,3.2,77
The Haunting,호러,현대소설,책,90년대,15세이상,800,911,1801,17,4.6,31808
The Hills Have Eyes,호러,현대소설,영화,2000년대,전체관람가,170,417,696,49,6.5,43747
Holes,드라마,현대소설,책,2000년대,7세이상,200,673,723,77,7.1,19388
Hollow Man,호러,공상과학,없음,2000년대,전체관람가,900,732,1912,28,5.5,41499
Harry Potter and the Chamber of Secrets,어드벤처,판타지,책,2000년대,7세이상,1000,2619,8789,82,7.2,120063
Inkheart,어드벤처,판타지,책,2000년대,7세이상,600,173,580,40,6.1,14157
In & Out,코미디,현대소설,없음,90년대,15세이상,350,638,832,71,6.1,18773
The Insider,드라마,각색,책,90년대,전체관람가,680,289,602,96,8,68747
Iron Man,액션,영웅물,만화,2000년대,15세이상,1860,3186,5826,94,7.9,174040
Die Another Day,액션,현대소설,책,2000년대,15세이상,1420,1609,4319,59,6,67476
Casino Royale,액션,현대소설,책,2000년대,15세이상,1020,1673,5963,94,8,172936
Quantum of Solace,액션,현대소설,책,2000년대,15세이상,2300,1693,5763,64,6.8,93596
Julie & Julia,코미디,현대소설,책,2000년대,15세이상,400,941,1266,75,7.2,22269
Kiss of the Dragon,액션,현대소설,없음,2000년대,전체관람가,250,368,368,51,6.3,22087
Kill Bill: Volume 1,액션,현대소설,없음,2000년대,전체관람가,550,700,1800,85,8.2,231761
Kingdom of Heaven,어드벤처,역사소설,없음,2000년대,전체관람가,1100,473,2113,39,7.1,83189
Knowing,스릴러,현대소설,책,2000년대,15세이상,500,799,1878,32,6.4,58138
K-PAX,드라마,공상과학,책,2000년대,15세이상,480,503,503,40,7.3,50475
King's Ransom,코미디,현대소설,없음,2000년대,15세이상,250,40,40,2,3.5,2251
Kundun,드라마,각색,없음,90년대,15세이상,280,56,56,76,7,10248
Ladder 49,액션,현대소설,없음,2000년대,15세이상,600,745,1023,40,6.5,23369
The Life Aquatic with Steve Zissou,코미디,현대소설,없음,2000년대,전체관람가,500,240,348,53,7.2,57889
Like Mike,코미디,아동소설,없음,2000년대,7세이상,300,514,624,56,4.4,4870
Lord of War,액션,현대소설,없음,2000년대,전체관람가,420,241,621,61,7.7,80124
The Last Samurai,액션,역사소설,없음,2000년대,전체관람가,1200,1111,4568,65,7.8,106002
Mad City,드라마,현대소설,없음,90년대,15세이상,500,105,105,37,6.1,9611
Paul Blart: Mall Cop,코미디,현대소설,없음,2000년대,7세이상,260,1463,1804,35,5.3,23753
Marci X,코미디,현대소설,없음,2000년대,전체관람가,200,16,16,10,2.4,3449
Meet Joe Black,드라마,판타지,없음,90년대,15세이상,850,446,446,50,6.9,56067
Mindhunters,스릴러,현대소설,없음,2000년대,전체관람가,270,44,165,26,6.2,23357
Captain Corelli's Mandolin,드라마,역사소설,책,2000년대,전체관람가,570,255,620,29,5.7,14706
Moonlight Mile,드라마,현대소설,없음,2000년대,15세이상,210,68,68,62,6.7,8346
Me and Orson Welles,드라마,역사소설,책,2000년대,15세이상,250,11,11,84,7.1,2417
Meet the Spartans,코미디,역사소설,없음,2000년대,15세이상,300,382,846,2,2.4,47281
The Matrix Reloaded,액션,공상과학,없음,2000년대,전체관람가,1270,2815,7385,73,7.1,148874
Murder by Numbers,스릴러,현대소설,없음,2000년대,전체관람가,500,318,566,31,5.9,22318
The Muse,코미디,현대소설,없음,90년대,15세이상,150,116,116,51,5.5,6507
Night at the Museum,코미디,판타지,책,2000년대,7세이상,1100,2508,5744,43,6.4,67133
Monsters vs. Aliens,어드벤처,판타지,만화,2000년대,7세이상,1750,1983,3816,72,6.8,26582
A Mighty Wind,코미디,현대소설,없음,2000년대,15세이상,60,175,185,88,7.2,13602
My Dog Skip,드라마,아동소설,없음,2000년대,7세이상,70,340,355,72,6.9,9029
My Fellow Americans,코미디,현대소설,없음,90년대,15세이상,215,223,223,50,6.3,6366
The Nativity Story,드라마,각색,책,2000년대,7세이상,350,376,464,37,6.6,4701
In Good Company,코미디,현대소설,없음,2000년대,15세이상,260,454,634,84,6.8,25695
Lucky Numbers,코미디,현대소설,없음,2000년대,전체관람가,650,100,100,23,4.9,5461
The Interpreter,스릴러,현대소설,없음,2000년대,15세이상,900,727,1639,58,6.5,38227
The Number 23,스릴러,현대소설,없음,2000년대,전체관람가,320,351,765,8,6.2,59174
The New World,어드벤처,역사소설,없음,2000년대,15세이상,300,127,261,60,6.9,33248
Ocean's Eleven,코미디,현대소설,영화,2000년대,15세이상,1100,1834,4507,81,7.6,139034
Old School,코미디,현대소설,없음,2000년대,전체관람가,240,751,863,60,7,60477
Out of Time,스릴러,현대소설,없음,2000년대,15세이상,500,410,554,65,4.9,151
The Passion of the Christ,드라마,각색,책,2000년대,전체관람가,250,3707,6118,50,7.1,87326
A Perfect Getaway,스릴러,현대소설,없음,2000년대,전체관람가,140,155,206,60,6.5,16324
The Chronicles of Riddick,어드벤처,공상과학,없음,2000년대,15세이상,1200,577,1072,29,6.4,49383
Planet of the Apes,어드벤처,공상과학,영화,2000년대,15세이상,1000,1800,3622,44,5.5,72763
Possession,드라마,현대소설,책,2000년대,15세이상,250,101,148,64,6.4,6789
Practical Magic,코미디,판타지,책,90년대,15세이상,600,468,683,21,5.5,20196
Quarantine,호러,현대소설,없음,2000년대,전체관람가,120,316,360,58,6.1,21939
Rabbit-Proof Fence,드라마,역사소설,책,2000년대,7세이상,70,61,161,87,7.6,13241
Ratatouille,코미디,판타지,없음,2000년대,19세이상,1500,2064,6204,96,8.1,131929
Robots,어드벤처,아동소설,없음,2000년대,7세이상,800,1282,2607,64,6.4,27361
Red Dragon,스릴러,현대소설,책,2000년대,전체관람가,780,929,2064,68,7.3,66386
The Reader,드라마,현대소설,책,2000년대,전체관람가,330,341,1061,61,7.7,46984
The Rocker,코미디,현대소설,없음,2000년대,15세이상,150,64,87,40,6.3,11859
Rock Star,드라마,현대소설,없음,2000년대,전체관람가,380,169,193,52,5.8,15806
Romeo Must Die,액션,현대소설,없음,2000년대,전체관람가,250,559,910,33,5.9,25309
Road Trip,코미디,현대소설,없음,2000년대,전체관람가,160,685,1197,59,6.4,44702
Rules of Engagement,스릴러,현대소설,책,2000년대,전체관람가,600,613,717,37,6.2,18462
Rush Hour 2,액션,현대소설,없음,2000년대,15세이상,900,2261,3474,51,6.4,52049
Saw VI,호러,현대소설,없음,2000년대,전체관람가,110,276,612,42,6.2,18091
About Schmidt,드라마,현대소설,책,2000년대,전체관람가,300,650,1058,85,7.3,53760
Shutter Island,스릴러,역사소설,책,2000년대,전체관람가,800,1280,2945,67,8,105706
Shrek,어드벤처,아동소설,책,2000년대,7세이상,500,2676,4843,89,8,163855
Shrek 2,어드벤처,아동소설,책,2000년대,7세이상,700,4412,9198,89,7.5,95658
The Sixth Sense,스릴러,현대소설,없음,90년대,15세이상,400,2935,6728,85,8.2,238745
The Skeleton Key,호러,현대소설,없음,2000년대,15세이상,400,479,929,38,6.5,29810
Sleepy Hollow,호러,역사소설,책,90년대,전체관람가,700,1010,2070,68,7.5,107511
Superbad,코미디,현대소설,없음,2000년대,전체관람가,175,1214,1698,87,7.8,134212
Superman Returns,어드벤처,영웅물,만화,2000년대,15세이상,2320,2001,3911,76,6.6,102751
Small Time Crooks,코미디,현대소설,없음,2000년대,7세이상,180,172,299,66,6.5,15636
Stepmom,드라마,현대소설,없음,90년대,15세이상,500,911,1197,43,6.2,18505
The Perfect Storm,드라마,각색,책,2000년대,15세이상,1200,1826,3287,47,6.2,55716
Tadpole,코미디,현대소설,없음,2000년대,15세이상,1,28,32,78,6.1,3800
The Tale of Despereaux,어드벤처,아동소설,책,2000년대,19세이상,600,508,887,55,6.1,7460
Tears of the Sun,액션,현대소설,없음,2000년대,전체관람가,750,436,856,34,6.4,34304
The Box,스릴러,판타지,책,2000년대,15세이상,250,150,263,45,6.8,418
The League of Extraordinary Gentlemen,어드벤처,영웅물,만화,2000년대,15세이상,780,664,1792,17,5.5,50710
The Mist,호러,공상과학,책,2000년대,전체관람가,130,255,547,73,7.4,76830
Tomorrow Never Dies,액션,현대소설,책,90년대,15세이상,1100,1253,3395,55,6.4,46650
The Town,드라마,현대소설,책,2000년대,전체관람가,370,309,331,84,8.7,493
